bytes,startTime,endTime,time (s)
1000,6111.29,6111.29,0.000050033
2000,6111.29,6111.29,0.000012264
3000,6111.29,6111.29,0.000008631
4000,6111.29,6111.29,0.000008384
5000,6111.29,6111.29,0.00000696
6000,6111.29,6111.29,0.000008436
7000,6111.29,6111.29,0.000009179
8000,6111.29,6111.29,0.000009181
9000,6111.29,6111.29,0.000008963
10000,6111.29,6111.29,0.000009646
11000,6111.29,6111.29,0.000009652
12000,6111.29,6111.29,0.000006435
13000,6111.29,6111.29,0.000008066
14000,6111.29,6111.29,0.000008637
15000,6111.29,6111.29,0.00000693
16000,6111.29,6111.29,0.000011212
17000,6111.29,6111.29,0.000009354
18000,6111.29,6111.29,0.000007582
19000,6111.29,6111.29,0.000008284
20000,6111.29,6111.29,0.000007026
21000,6111.29,6111.29,0.000008379
22000,6111.29,6111.29,0.000009031
23000,6111.29,6111.29,0.000007045
24000,6111.29,6111.29,0.000008193
25000,6111.29,6111.29,0.000009231
26000,6111.29,6111.29,0.000010664
27000,6111.29,6111.29,0.00001025
28000,6111.29,6111.29,0.000010217
29000,6111.29,6111.29,0.000010371
30000,6111.29,6111.29,0.000008553
31000,6111.29,6111.29,0.000008213
32000,6111.29,6111.29,0.000010158
33000,6111.29,6111.29,0.000007728
34000,6111.29,6111.29,0.000009868
35000,6111.29,6111.29,0.000055848
36000,6111.29,6111.29,0.000067751
37000,6111.29,6111.29,0.00006837
38000,6111.29,6111.29,0.000068685
39000,6111.29,6111.29,0.000068756
40000,6111.29,6111.29,0.000068444
41000,6111.29,6111.29,0.000009022
42000,6111.29,6111.29,0.000065945
43000,6111.29,6111.29,0.00006965
44000,6111.29,6111.29,0.000009609
45000,6111.29,6111.29,0.00000928
46000,6111.29,6111.29,0.00007
47000,6111.29,6111.29,0.000068244
48000,6111.29,6111.29,0.000069885
49000,6111.29,6111.29,0.000009307
50000,6111.3,6111.3,0.000069648
51000,6111.3,6111.3,0.000068856
52000,6111.3,6111.3,0.000068278
53000,6111.3,6111.3,0.000068516
54000,6111.3,6111.3,0.000068012
55000,6111.3,6111.3,0.000067954
56000,6111.3,6111.3,0.000057473
57000,6111.3,6111.3,0.000063737
58000,6111.3,6111.3,0.000058899
59000,6111.3,6111.3,0.000061895
60000,6111.3,6111.3,0.000060028
61000,6111.3,6111.3,0.000060164
62000,6111.3,6111.3,0.000061476
63000,6111.3,6111.3,0.00005991
64000,6111.3,6111.3,0.000059698
65000,6111.3,6111.3,0.000060126
66000,6111.3,6111.3,0.000058821
67000,6111.3,6111.3,0.000060968
68000,6111.3,6111.3,0.000061319
69000,6111.3,6111.3,0.000059411
70000,6111.3,6111.3,0.000061418
71000,6111.3,6111.3,0.000059322
72000,6111.3,6111.3,0.00005885
73000,6111.3,6111.3,0.000059787
74000,6111.3,6111.3,0.000061273
75000,6111.3,6111.3,0.000058025
76000,6111.3,6111.3,0.00006066
77000,6111.3,6111.3,0.00005961
78000,6111.3,6111.3,0.000059825
79000,6111.3,6111.3,0.000057624
80000,6111.3,6111.3,0.000056492
81000,6111.3,6111.3,0.000061569
82000,6111.3,6111.3,0.000059559
83000,6111.3,6111.3,0.000059234
84000,6111.3,6111.3,0.000059383
85000,6111.3,6111.3,0.000055129
86000,6111.3,6111.3,0.000059741
87000,6111.3,6111.3,0.000058094
88000,6111.3,6111.3,0.000058238
89000,6111.3,6111.3,0.00005968
90000,6111.3,6111.3,0.000057402
91000,6111.3,6111.3,0.00005788
92000,6111.3,6111.3,0.000058835
93000,6111.3,6111.3,0.000059333
94000,6111.3,6111.3,0.000060496
95000,6111.3,6111.3,0.000057962
96000,6111.3,6111.3,0.000060493
97000,6111.3,6111.3,0.000060247
98000,6111.3,6111.3,0.000057309
99000,6111.3,6111.3,0.000057731
100000,6111.3,6111.3,0.000058366
101000,6111.3,6111.3,0.000058992
